dst_mac,src_mac,dst_ip,src_ip,dst_port,src_port,length,vlan,pcp,nop,await0,await1,prot
10:26:92:05:ee:59,2e:6e:fd:06:f8:4f,229.84.102.89,47.17.206.19,27918,14656,1005,62,7,29917,64,41,1
af:04:e4:4e:78:d2,15:66:2a:e6:31:42,29.192.234.123,127.26.240.59,18412,102,515,365,4,14062,60,92,1
5d:a2:94:c0:ea:a5,1a:b0:1d:5f:ae:09,163.95.173.49,86.94.61.70,41018,63780,1060,271,4,26817,116,65,0
bf:2c:7c:c9:20:1c,2a:87:f7:14:8b:20,40.14.127.134,252.201.137.59,32462,7405,818,1360,5,2813,112,14,0
02:4a:b5:06:a7:83,fd:33:4a:e2:69:93,53.208.15.51,40.14.127.134,27531,63521,779,3307,5,27813,59,67,1
dd:fc:9e:95:73:0f,cf:b7:e3:04:06:36,253.7.3.202,57.245.70.1,60664,12635,805,524,0,10317,1,52,1
61:87:95:90:28:ae,5d:a2:94:c0:ea:a5,118.225.86.65,22.153.107.215,17349,4604,114,1916,5,54186,127,26,0
90:44:7a:f9:9d:08,73:be:5d:f0:0f:4b,61.171.103.190,37.255.177.14,7175,18085,1196,3894,0,2641,105,115,1
c9:1d:16:05:e3:3c,69:f8:ad:6d:c7:59,237.208.91.49,183.65.196.80,5939,48229,1405,2132,4,13246,36,122,1
02:4a:b5:06:a7:83,aa:45:d7:25:19:f3,183.243.247.167,154.180.106.188,44811,7340,1244,3763,0,28496,32,95,0
a3:df:e6:05:82:eb,d3:81:98:0f:8b:c9,168.247.134.137,116.9.170.244,48221,2284,153,1522,3,43368,102,85,0
b7:9a:e8:8c:9b:0c,27:f6:19:3b:c8:02,240.193.25.216,23.90.116.248,10403,40772,1272,2690,1,20554,75,24,0
d9:14:10:bd:a8:55,1a:28:7c:ee:40:f3,91.203.31.66,217.163.32.131,4690,31454,1067,3337,2,49030,126,64,1
c7:3a:e1:8a:07:59,54:9b:ef:1e:b4:4b,118.225.86.65,93.76.75.244,3410,55134,935,2338,7,60992,15,14,0
b9:03:1e:9e:87:3d,9b:c2:17:6a:ad:4c,22.2.45.162,60.61.69.163,53786,34744,963,38,1,47769,59,12,0
97:f8:0e:8f:14:a6,8b:42:e1:b2:b8:9f,47.17.206.19,217.236.117.69,64342,60763,537,711,3,62760,90,97,0
6f:ea:7b:a0:97:ac,cb:3a:a9:4c:3f:ce,169.62.68.11,136.173.120.87,55398,28248,297,2093,0,8916,52,74,1
15:66:2a:e6:31:42,8b:42:e1:b2:b8:9f,204.122.214.109,116.130.106.211,15958,2921,954,2843,4,13996,69,44,0
8b:d4:2e:91:4b:6d,10:ab:d6:3e:98:57,138.231.207.107,14.194.206.15,52515,53911,1451,2618,1,53090,88,71,1
3c:2c:43:72:c1:d5,55:c5:7f:fd:95:5d,124.217.62.217,148.32.149.134,26779,64943,819,2710,0,16945,113,31,0
b2:5e:22:db:c8:2c,73:d8:b9:a1:4b:cb,59.242.239.27,105.18.247.109,41977,255,1191,1112,4,60574,25,17,1
d3:81:98:0f:8b:c9,ff:be:e4:fd:64:48,163.23.92.58,8.163.244.15,16195,49202,1233,2868,0,31315,4,50,0
cd:56:45:e3:61:57,9a:aa:b7:47:b1:67,84.16.219.223,21.10.159.64,64026,53433,1438,2175,0,6686,0,62,0
ad:59:6a:19:0e:6d,ef:7b:b0:24:02:ac,14.112.54.48,153.0.22.221,17042,39167,1260,1027,1,64717,2,47,1
10:ab:d6:3e:98:57,cb:3a:a9:4c:3f:ce,81.222.99.13,97.60.237.71,45106,25418,1165,1205,0,45697,76,97,0
3c:2c:43:72:c1:d5,8a:f3:0a:9d:97:63,136.115.41.246,214.135.213.31,13611,11604,132,601,1,54335,67,58,1
41:81:95:f7:6f:e6,b8:cb:27:3c:a1:fe,241.229.23.84,216.48.97.192,26179,46130,505,2592,7,9880,88,61,0
51:12:c0:08:c9:11,b7:a1:5f:f1:46:43,96.171.130.202,232.43.151.25,17374,32586,1203,3235,0,62216,44,69,0
3c:2c:43:72:c1:d5,93:53:33:07:0e:0f,64.117.227.189,5.186.243.180,30460,10737,1161,562,1,9082,76,23,1
2c:5f:0f:d0:28:76,5a:97:49:ce:c9:7a,11.107.1.119,124.217.62.217,23512,36841,151,35,3,14322,53,61,0
ac:9f:9d:fb:fe:67,e4:13:4e:f2:68:da,103.46.94.79,62.166.82.57,6096,42571,513,3536,7,38012,103,106,1
d8:d3:15:1d:de:d4,10:ab:d6:3e:98:57,92.111.65.224,72.244.48.124,18182,8785,911,3686,7,49713,118,92,0
96:f8:85:99:bf:90,b7:a1:5f:f1:46:43,124.172.153.86,142.248.100.149,17927,13913,1452,1359,1,50141,43,80,1
7e:92:b6:21:98:11,e4:13:4e:f2:68:da,48.43.226.189,118.225.86.65,61289,4995,584,2711,4,56442,33,105,1
2e:6e:fd:06:f8:4f,bb:2d:4f:14:7e:45,87.134.255.111,59.242.239.27,7654,7467,164,2923,0,24402,104,85,0
24:68:80:e1:04:fc,bb:2d:4f:14:7e:45,232.43.151.25,206.101.245.215,9393,4100,371,21,7,29253,3,65,1
39:f6:c9:ba:15:01,fb:63:ae:19:72:ab,150.36.223.37,206.205.171.252,61751,42651,1336,808,0,56741,82,73,1
9b:da:dc:0f:db:74,0f:54:d7:84:66:80,59.59.239.53,153.0.22.221,55419,50503,701,1474,5,6703,80,89,1
b0:e1:6c:b7:06:ab,50:da:70:ce:46:6b,232.43.151.25,156.40.10.10,33929,26822,870,3890,7,27577,1,32,0
32:c7:74:e3:bf:dc,d2:6e:ca:ae:66:4f,169.62.68.11,68.216.224.220,22478,56896,1419,716,7,49732,115,76,0
5b:f6:20:2b:8c:ae,19:63:d5:d4:97:5d,135.159.44.119,200.94.176.103,47346,4825,1250,233,2,1465,97,104,0
75:30:3e:26:5f:3d,20:4b:e7:10:7a:46,39.177.208.117,135.82.109.50,29773,57842,978,749,3,52221,25,33,1
c9:a9:ff:b5:a3:56,1f:40:84:7f:fd:4d,101.68.96.76,236.123.99.211,46331,50358,1070,532,4,61674,112,70,1
6c:10:e6:7f:d2:6c,1a:b0:1d:5f:ae:09,194.19.217.105,49.218.66.231,37459,51221,823,2927,4,5075,42,111,0
ad:d9:78:94:5d:a4,cf:b7:e3:04:06:36,16.21.180.159,64.117.227.189,25973,23179,126,2070,4,55537,121,101,1
60:64:9f:39:8b:32,ee:45:44:7f:fb:a1,164.56.91.149,165.0.218.9,37524,61851,1169,1127,4,28631,100,101,0
02:4a:b5:06:a7:83,b8:cb:27:3c:a1:fe,104.147.41.32,109.2.254.98,64521,39045,1248,3395,2,46966,126,32,1
1a:28:7c:ee:40:f3,5b:f6:20:2b:8c:ae,234.20.48.174,107.93.180.28,31581,17984,392,2631,0,26718,59,111,0
86:cc:8d:81:33:fa,43:ad:4c:b1:4c:8d,150.138.64.105,50.61.212.77,26750,18644,1085,963,7,24642,113,52,1
39:f6:c9:ba:15:01,e6:c9:de:7f:f2:5e,137.168.253.17,232.247.93.255,1879,28202,1089,1788,1,55340,104,59,0
cd:56:45:e3:61:57,a1:d7:fa:65:33:ae,101.149.150.193,119.138.183.228,19739,58740,1041,499,3,84,76,63,0
2c:5f:0f:d0:28:76,1b:c4:1c:4c:b3:f5,6.202.82.67,22.2.45.162,52349,40132,859,3596,0,33959,103,127,0
19:63:d5:d4:97:5d,e3:0e:e8:d6:b1:13,93.76.75.244,137.168.253.17,257,19783,1108,1510,2,32010,3,112,0
6f:ea:7b:a0:97:ac,54:9b:ef:1e:b4:4b,181.194.143.230,153.0.22.221,30359,36589,85,1385,4,52423,92,69,1
88:b4:6a:38:3c:71,c9:1d:16:05:e3:3c,59.59.239.53,139.159.68.66,38581,23223,170,4057,2,5764,54,109,0
eb:4d:de:b3:42:66,02:4a:b5:06:a7:83,0.222.85.226,154.221.16.57,55704,26422,241,1092,4,60519,57,96,1
81:f3:00:1b:2f:83,28:fc:be:e5:9f:26,87.236.202.129,231.33.243.82,39139,23288,179,215,1,29499,15,101,0
e3:52:18:0c:c2:7c,49:75:00:3a:f9:11,10.210.135.25,62.20.90.192,11452,9019,862,1964,7,49829,76,90,1
e1:9e:50:63:c7:70,6f:ea:7b:a0:97:ac,127.26.240.59,80.196.253.241,18382,61212,563,1624,5,23253,118,36,0
bc:df:b5:dc:fa:56,46:7a:1b:92:a0:de,62.20.90.192,61.249.165.113,8771,49939,544,3489,1,1233,74,19,1
b7:9a:e8:8c:9b:0c,65:5f:ff:ec:ca:ab,124.172.153.86,107.93.180.28,58012,39447,1360,1442,3,22988,85,123,1
5a:97:49:ce:c9:7a,50:da:70:ce:46:6b,178.235.200.11,7.250.128.129,1539,28599,1414,1326,6,36754,43,92,0
5a:18:ba:da:24:22,a3:df:e6:05:82:eb,116.130.106.211,138.231.207.107,63251,24301,600,3856,3,21007,20,29,0
ff:be:e4:fd:64:48,2b:03:9c:79:5d:70,253.219.164.64,138.231.207.107,35351,56900,1322,2530,3,32543,72,104,1
5a:97:49:ce:c9:7a,ab:a7:7e:88:7c:52,230.1.32.206,18.184.130.25,52197,62118,266,131,4,41098,5,122,0
56:40:ee:14:47:bf,90:44:7a:f9:9d:08,141.213.149.26,87.236.202.129,35960,44623,1252,1590,6,24960,122,53,0
d3:e4:09:a2:08:fd,93:53:33:07:0e:0f,201.250.252.138,59.242.239.27,23738,44873,204,2183,7,9655,4,91,1
58:1e:5b:bd:0b:25,1b:08:a2:4d:55:cf,109.2.254.98,190.20.119.25,3277,16141,1389,2902,4,7319,125,4,0
9c:9c:b6:0a:c0:b8,a1:ca:73:c5:22:a3,68.216.224.220,65.244.219.116,12537,63174,198,2460,3,30194,65,4,0
55:df:b6:03:bf:b9,47:18:11:96:19:80,134.245.88.228,130.121.222.34,41900,31378,1444,2683,5,2725,64,76,1
73:d8:b9:a1:4b:cb,2a:63:6b:5f:5c:21,237.208.91.49,124.217.62.217,50950,9744,829,2815,1,37462,104,102,0
bd:6b:fc:c6:8d:f2,39:f6:c9:ba:15:01,240.193.25.216,112.170.45.31,1579,17768,552,2977,7,46569,86,15,1
5e:62:93:77:55:6e,46:7a:1b:92:a0:de,253.219.164.64,205.253.138.123,58130,30313,748,1601,0,28224,59,65,0
e0:57:9b:1a:32:c9,90:44:7a:f9:9d:08,42.82.151.248,62.212.208.208,34277,7384,259,1637,5,22711,34,88,0
24:68:80:e1:04:fc,dd:fc:9e:95:73:0f,190.44.106.31,204.122.214.109,42302,56924,123,1366,7,1688,18,37,1
e3:0e:e8:d6:b1:13,9a:46:33:cc:a7:ea,204.248.148.176,200.94.176.103,60555,51398,173,2689,2,37027,90,59,0
c9:8c:2b:cc:99:68,b7:a1:5f:f1:46:43,127.26.240.59,217.163.32.131,179,34680,542,1218,2,18009,0,103,0
46:41:36:27:88:a3,bd:3e:11:f3:f8:a6,190.44.106.31,11.107.1.119,43375,51847,525,694,1,58179,57,64,0
97:f8:0e:8f:14:a6,76:c6:f9:b2:62:38,21.10.159.64,102.54.37.149,26153,59274,228,3172,5,61668,18,81,1
b1:e6:ba:eb:6d:18,50:da:70:ce:46:6b,200.96.160.79,150.184.101.61,5987,8644,818,3761,3,49974,100,42,1
75:30:3e:26:5f:3d,43:ad:4c:b1:4c:8d,28.171.212.197,144.208.144.190,13709,64354,352,1281,4,62341,37,41,1
d8:d3:15:1d:de:d4,99:5e:6e:aa:a2:d3,62.212.208.208,21.33.152.193,20819,43769,308,184,0,38419,105,10,1
b7:9a:e8:8c:9b:0c,6e:a2:ed:a8:83:bd,188.1.193.107,165.0.218.9,38799,63969,848,3146,5,62332,121,17,0
1b:c4:1c:4c:b3:f5,c5:3a:df:00:5c:9d,94.77.105.248,118.225.86.65,21588,61630,550,3659,6,14483,25,115,1
14:af:61:9f:29:10,b2:5e:22:db:c8:2c,190.44.106.31,216.48.97.192,36461,8033,478,3146,1,1936,95,86,1
a1:d7:fa:65:33:ae,c9:1d:16:05:e3:3c,52.97.229.139,123.39.45.198,47378,2334,934,758,5,20777,2,29,1
6c:ca:cb:39:98:dd,8f:f6:c7:b2:ae:e8,61.249.165.113,135.159.44.119,48867,59411,941,3877,7,57602,13,68,0
d2:38:b7:9d:52:5f,95:0a:37:42:96:31,134.245.88.228,40.59.197.15,56699,38236,922,2599,6,49119,56,65,0
1b:94:43:33:ed:18,1b:08:a2:4d:55:cf,24.68.251.61,53.208.15.51,49330,51608,1024,427,3,18395,67,7,1
ef:7b:b0:24:02:ac,fd:33:4a:e2:69:93,126.160.7.208,134.245.88.228,8768,57826,127,3808,7,50608,100,119,1
43:ad:4c:b1:4c:8d,b7:a1:5f:f1:46:43,33.69.85.156,23.90.116.248,42346,37939,1471,2310,0,60375,69,56,1
d9:65:03:79:2d:20,70:50:66:5e:be:ad,236.123.99.211,214.135.213.31,39550,46395,1186,2239,1,27596,94,34,1
fb:63:ae:19:72:ab,6c:10:e6:7f:d2:6c,96.171.130.202,87.45.61.88,11548,44816,684,3680,6,30469,112,63,1
b2:19:04:5c:98:3f,cd:56:45:e3:61:57,87.236.202.129,52.97.229.139,49963,54295,1079,1238,2,34461,13,10,0
1a:28:7c:ee:40:f3,3c:2c:43:72:c1:d5,117.178.245.116,49.218.66.231,312,31382,1330,2515,2,63320,77,27,1
0e:fe:cd:a9:e2:02,be:61:0a:be:90:6d,186.36.132.123,130.185.103.211,11402,50664,428,3666,0,44530,84,107,0
47:18:11:96:19:80,55:c5:7f:fd:95:5d,6.88.229.22,222.198.81.191,20309,4028,749,1162,0,45975,68,57,1
4a:f2:40:a1:d3:28,94:67:63:d9:8f:c3,150.184.101.61,121.236.189.212,43385,18972,1425,1871,1,25216,30,120,0
10:ab:d6:3e:98:57,21:0c:75:d4:6c:45,218.214.84.68,57.245.70.1,3590,50212,1457,2634,2,17752,7,98,1
1d:46:01:0c:1b:0e,99:ce:10:d0:ba:32,207.178.2.147,222.198.81.191,57458,42627,1462,598,1,30728,125,12,1
ee:45:44:7f:fb:a1,4a:f2:40:a1:d3:28,203.151.73.14,164.56.91.149,5996,9799,314,2573,7,27664,58,90,0
50:da:70:ce:46:6b,21:d0:b3:86:71:b0,201.102.167.209,40.14.127.134,45186,60635,613,1196,0,2481,70,59,1
42:06:8b:d1:45:e7,ac:9f:9d:fb:fe:67,102.54.37.149,241.229.23.84,19310,7195,164,2788,7,32036,117,107,1
fd:e2:24:35:c5:88,2a:63:6b:5f:5c:21,217.236.117.69,183.243.247.167,14626,30033,1329,1665,3,49030,42,38,0
d8:d3:15:1d:de:d4,41:81:95:f7:6f:e6,239.133.225.54,42.82.151.248,20084,35082,1383,1477,2,47389,112,63,0
54:79:3b:d3:21:2a,67:1a:63:9a:15:2c,237.208.91.49,106.22.15.255,49647,50013,503,466,6,27606,63,33,1
47:18:11:96:19:80,90:44:7a:f9:9d:08,65.244.219.116,144.208.144.190,24725,25821,1018,2739,1,27472,119,26,1
8b:d4:2e:91:4b:6d,9b:09:04:0b:e7:f4,65.244.219.116,203.100.78.6,8212,55240,1121,2053,5,62317,41,68,1
ee:45:44:7f:fb:a1,bf:2c:7c:c9:20:1c,61.249.165.113,12.158.191.47,25288,14065,927,706,6,9128,58,90,1
68:f1:1b:f5:88:39,6e:a2:ed:a8:83:bd,49.218.66.231,18.184.130.25,35088,16309,1369,381,0,44670,67,5,1
b1:e6:ba:eb:6d:18,0f:7c:44:6c:00:93,1.227.131.126,203.104.205.246,41364,52760,1425,1914,3,29295,11,106,1
54:9b:ef:1e:b4:4b,e3:0e:e8:d6:b1:13,127.26.240.59,81.222.99.13,55534,9388,516,204,7,52984,126,123,1
fc:8a:00:d3:f6:cf,cd:56:45:e3:61:57,207.178.2.147,91.203.31.66,15773,28657,1444,1032,7,59207,89,42,1
08:5d:87:af:14:57,31:0e:e1:2d:00:a5,79.40.179.120,36.28.97.230,30398,59766,519,2030,6,28598,102,68,1
02:4a:b5:06:a7:83,ff:be:e4:fd:64:48,91.203.31.66,72.244.48.124,25156,5070,1215,3938,1,102,85,117,0
56:8b:84:d8:73:94,d3:e4:09:a2:08:fd,6.202.82.67,204.248.148.176,49934,39699,133,382,3,43001,43,25,1
fb:69:dd:e7:f8:75,c3:70:ac:14:fb:5e,238.189.98.53,211.80.37.93,22203,13519,1159,1013,5,53173,31,17,0
63:ca:7e:2a:f9:35,75:30:3e:26:5f:3d,183.243.247.167,178.183.4.201,39008,52664,959,492,5,63959,28,21,1
fa:8c:5e:81:e7:74,58:1e:5b:bd:0b:25,154.180.106.188,11.107.1.119,26742,24300,1147,486,7,62943,33,39,0
32:28:c2:9e:cd:05,60:3d:25:f8:2a:88,101.149.150.193,40.22.45.132,51655,13223,143,3677,5,46135,102,53,0
6e:a2:ed:a8:83:bd,41:81:95:f7:6f:e6,159.48.9.18,16.21.180.159,86,6929,1070,2004,7,15590,12,16,0
ca:59:d5:97:0d:e7,b8:cb:27:3c:a1:fe,200.96.160.79,93.76.75.244,43688,32127,680,3343,2,64774,63,54,0
68:c4:b6:a9:c2:69,95:0a:37:42:96:31,62.166.82.57,223.200.229.98,27699,39628,553,630,7,40852,42,77,0
a1:ca:73:c5:22:a3,b8:c4:2d:10:2c:b5,52.58.189.234,135.159.44.119,40169,10512,851,2195,5,57362,69,74,0
21:d0:b3:86:71:b0,55:a2:6c:f6:bf:b7,38.47.105.204,92.111.65.224,47474,8635,385,2269,4,60560,1,45,0
e1:ff:b7:8d:eb:17,02:4a:b5:06:a7:83,173.153.0.229,80.196.253.241,54605,36896,249,464,5,48792,3,76,1
9b:c2:17:6a:ad:4c,31:0e:e1:2d:00:a5,255.166.201.205,94.7.178.20,7281,19345,624,525,2,49319,24,10,1
bf:f3:02:69:f8:fa,68:f1:1b:f5:88:39,49.218.66.231,188.75.55.128,64370,64088,1463,450,0,56986,127,107,1
54:8a:f4:de:38:f8,42:6f:32:f0:b9:cc,199.1.233.173,130.185.103.211,41627,7333,445,2346,4,46563,76,55,0
63:ca:7e:2a:f9:35,96:19:c9:00:e3:45,165.0.218.9,110.97.158.3,18134,15830,708,1610,6,55776,123,24,1
15:b5:05:ec:29:b8,a3:3d:b8:8d:e1:f8,246.18.194.187,62.20.90.192,33246,11560,166,2396,1,43366,64,57,1
97:f8:0e:8f:14:a6,42:06:8b:d1:45:e7,7.250.128.129,204.248.148.176,44059,46469,896,339,2,20556,53,71,0
eb:4d:de:b3:42:66,a3:3d:b8:8d:e1:f8,126.192.139.178,153.0.22.221,45327,44260,772,1387,5,63701,109,97,1
99:82:55:1b:24:49,2a:87:f7:14:8b:20,12.158.191.47,190.20.119.25,18645,44456,358,932,5,31838,49,74,0
ae:ad:6f:3e:e9:ac,b2:5e:22:db:c8:2c,6.202.82.67,48.43.226.189,63924,8443,546,3421,5,10246,53,67,0
7e:47:ef:1d:69:72,ba:82:01:5f:25:04,173.153.0.229,247.250.135.63,61719,41817,1343,3077,2,19714,69,93,0
b1:e6:ba:eb:6d:18,ea:e9:4f:6b:a2:96,117.86.191.71,86.94.61.70,39895,21397,565,1384,3,3142,16,96,1
54:79:3b:d3:21:2a,42:06:8b:d1:45:e7,252.201.137.59,79.224.149.149,51846,21184,493,272,1,34263,66,70,1
eb:25:de:6c:26:2d,54:79:3b:d3:21:2a,119.138.183.228,110.97.158.3,24974,25635,1126,1366,0,9780,78,68,1
2e:a3:d3:70:56:46,22:e7:e5:eb:bf:93,90.154.22.189,116.9.170.244,25924,55493,1135,790,6,9699,125,36,1
ab:a7:7e:88:7c:52,58:1e:5b:bd:0b:25,228.95.35.154,156.40.10.10,13485,62643,1329,4030,0,28780,124,76,1
e3:52:18:0c:c2:7c,cf:b7:e3:04:06:36,206.205.171.252,148.32.149.134,42415,23777,395,903,0,44361,112,60,0
8b:d4:2e:91:4b:6d,26:0c:a7:33:18:8f,204.122.214.109,23.90.116.248,23622,62582,1183,3502,5,1939,57,71,1
54:79:3b:d3:21:2a,ac:9f:9d:fb:fe:67,87.134.255.111,117.86.191.71,45245,60256,812,3914,3,64154,97,108,1
9a:46:33:cc:a7:ea,86:cc:8d:81:33:fa,234.20.48.174,217.236.117.69,38529,12952,757,3729,2,17525,37,95,1
60:64:9f:39:8b:32,32:28:c2:9e:cd:05,103.46.94.79,234.182.45.216,30987,38186,1284,525,5,7737,101,77,1
a8:3b:6f:c7:22:71,32:c7:74:e3:bf:dc,246.18.194.187,244.97.70.15,42636,25704,947,2612,6,35595,94,97,0
02:4a:b5:06:a7:83,ee:7c:72:36:2c:97,117.86.191.71,206.205.171.252,44697,42710,459,282,6,12962,78,120,1
9d:ea:aa:4f:6e:6d,6d:79:c9:67:b9:7e,47.85.237.146,178.235.200.11,56818,6586,107,951,2,26821,77,119,1
14:af:61:9f:29:10,68:dd:64:ef:23:17,47.17.206.19,124.217.62.217,59013,20262,303,3102,7,26360,37,111,0
e3:52:18:0c:c2:7c,e1:9e:50:63:c7:70,223.200.229.98,61.171.103.190,37818,19422,1366,91,0,42155,39,76,0
a3:df:e6:05:82:eb,0f:7c:44:6c:00:93,218.214.84.68,135.82.109.50,48629,3464,1170,875,7,33245,84,36,0
49:6d:54:cd:fe:4d,d3:e4:09:a2:08:fd,118.225.86.65,92.111.65.224,38314,62051,1389,2641,0,29111,61,7,0
c7:3a:e1:8a:07:59,6e:a2:ed:a8:83:bd,196.49.58.122,216.48.97.192,1075,56541,302,1574,7,19118,112,12,0
ce:e1:c5:ae:2b:45,0a:ae:b9:68:87:58,5.186.243.180,8.37.141.33,36488,24058,732,3380,5,14139,94,22,0
88:b4:6a:38:3c:71,f7:84:69:72:3c:b0,230.1.32.206,203.104.205.246,8550,39424,533,123,7,48763,31,19,0
05:ea:8a:5d:c3:49,56:40:ee:14:47:bf,87.45.61.88,24.68.251.61,11449,61457,1320,952,5,48555,7,90,1
8e:9e:d1:ff:3f:33,4e:e1:6c:5a:1b:d2,124.217.62.217,130.121.222.34,2485,16090,768,3311,3,33606,28,31,1
e3:0e:e8:d6:b1:13,d3:e4:09:a2:08:fd,242.168.13.252,232.43.151.25,38777,2054,1122,1579,0,64124,71,57,0
1a:b0:1d:5f:ae:09,ad:59:6a:19:0e:6d,167.235.189.24,49.218.66.231,53219,49383,1146,2194,3,21964,106,39,1
1b:c4:1c:4c:b3:f5,e3:52:18:0c:c2:7c,142.248.100.149,101.149.150.193,27469,42450,879,918,5,7694,43,2,0
6e:a2:ed:a8:83:bd,6e:ae:0c:87:4f:94,173.153.0.229,50.48.115.222,41533,16729,1200,3152,7,23695,127,17,0
9c:9c:b6:0a:c0:b8,2e:a3:d3:70:56:46,60.61.69.163,87.45.61.88,15621,8714,702,4040,4,28946,22,109,0
75:91:ed:ba:3e:ee,6f:ea:7b:a0:97:ac,87.45.61.88,47.85.237.146,8943,22646,1388,1947,6,28938,24,101,0
9a:aa:b7:47:b1:67,a3:3d:b8:8d:e1:f8,21.99.110.14,126.160.7.208,17016,38525,388,2730,6,24952,66,8,0
c7:3a:e1:8a:07:59,55:a2:6c:f6:bf:b7,42.82.151.248,103.46.94.79,63827,23010,406,1064,4,22538,82,111,1
e3:52:18:0c:c2:7c,6f:ea:7b:a0:97:ac,177.60.81.35,178.179.29.249,16044,37530,93,1048,6,10964,25,15,0
09:7c:ee:c5:59:cd,4e:95:db:04:01:a0,249.114.121.202,94.7.178.20,25606,60052,803,2743,7,48326,39,15,0
31:eb:39:01:f9:10,6c:10:e6:7f:d2:6c,13.34.253.228,178.235.200.11,25024,59635,744,1870,5,59735,24,54,0
61:87:95:90:28:ae,ae:ad:6f:3e:e9:ac,130.185.103.211,163.23.92.58,11619,58551,746,3607,5,58443,2,82,0
b8:c4:2d:10:2c:b5,20:4b:e7:10:7a:46,159.48.9.18,193.123.45.209,12268,16166,1058,3411,2,26700,96,87,0
99:82:55:1b:24:49,cd:56:45:e3:61:57,181.194.143.230,91.212.203.219,60008,15370,989,733,7,37513,61,92,0
2b:03:9c:79:5d:70,62:f9:e6:e2:06:38,107.93.180.28,62.166.82.57,63810,39154,1407,3102,5,16431,116,107,1
0f:54:d7:84:66:80,c3:a4:17:af:30:cb,232.83.104.26,57.190.98.49,15344,28657,810,1055,6,39248,78,69,1
62:2e:9e:de:91:3a,93:53:33:07:0e:0f,141.213.149.26,36.28.97.230,64996,61693,164,1082,7,40064,36,89,1
ff:be:e4:fd:64:48,22:e7:e5:eb:bf:93,194.99.65.146,207.178.2.147,20795,12340,726,1715,7,32739,22,9,0
8f:f4:11:fe:c3:d5,eb:4d:de:b3:42:66,50.61.212.77,130.185.103.211,5458,41830,292,3871,1,51530,76,19,0
e6:c9:de:7f:f2:5e,bc:fb:50:45:e9:8a,199.1.233.173,133.151.239.34,14844,47036,1369,3395,5,5148,91,101,0
58:1e:5b:bd:0b:25,43:ad:4c:b1:4c:8d,59.59.239.53,180.138.144.108,44074,14288,971,340,6,52170,16,97,0
ca:59:d5:97:0d:e7,90:44:7a:f9:9d:08,180.138.144.108,150.138.64.105,65419,60903,1384,3641,5,41466,39,105,0
1d:46:01:0c:1b:0e,43:ad:4c:b1:4c:8d,206.205.171.252,133.181.20.70,26758,19600,313,2282,6,52962,102,42,0
15:b5:05:ec:29:b8,b8:c4:2d:10:2c:b5,48.43.226.189,7.250.128.129,63454,31308,980,1306,5,48441,117,100,0
b8:c4:2d:10:2c:b5,e1:4e:65:06:ef:2e,126.192.139.178,59.242.239.27,9484,63575,666,2372,0,37627,48,95,1
d3:e4:09:a2:08:fd,f4:ed:48:bd:46:d8,222.193.189.188,18.240.133.44,7269,9234,287,2643,3,35370,113,48,1
d2:6e:ca:ae:66:4f,1b:c4:1c:4c:b3:f5,3.240.2.41,120.101.22.216,63632,45205,1015,3722,1,48885,109,69,0
a8:3b:6f:c7:22:71,8e:ab:bb:9c:20:b4,224.45.157.80,222.193.189.188,62043,35368,394,261,6,20676,8,95,1
62:f9:e6:e2:06:38,10:ab:d6:3e:98:57,204.122.214.109,39.177.208.117,8838,16222,611,3901,3,5785,110,124,1
1b:94:43:33:ed:18,a8:3b:6f:c7:22:71,93.141.99.168,178.22.42.126,35820,39675,1433,2371,2,43989,56,22,1
63:ca:7e:2a:f9:35,60:64:9f:39:8b:32,21.99.110.14,110.4.151.133,48709,49727,1324,2021,5,33879,36,121,0
a0:5f:bf:ab:0e:f3,9a:aa:b7:47:b1:67,226.182.86.107,119.138.183.228,45753,46582,661,1153,0,13465,114,17,0
a3:7e:26:23:0a:f2,e7:de:95:dd:72:15,0.222.85.226,141.213.149.26,57200,43956,83,2678,0,17219,123,20,1
2a:63:6b:5f:5c:21,d3:e1:1e:d0:74:a9,111.105.229.141,52.97.229.139,56744,48572,1403,663,3,39559,85,55,0
49:04:8b:69:29:58,56:8b:84:d8:73:94,210.57.26.132,232.247.93.255,51176,13616,456,3581,2,42099,123,20,0
78:aa:73:03:00:17,72:80:a0:5d:91:38,72.244.48.124,190.44.106.31,22096,1763,1277,1632,1,23462,113,66,1
62:2e:9e:de:91:3a,d9:14:10:bd:a8:55,91.203.31.66,11.107.1.119,36861,51171,494,2383,0,10528,22,61,1
54:8a:f4:de:38:f8,1c:80:c9:0b:08:1e,178.183.4.201,177.60.81.35,43111,3852,509,2635,1,61685,107,9,0
a3:3e:a5:86:76:81,ff:be:e4:fd:64:48,136.173.120.87,48.156.56.147,28544,6900,736,499,1,21427,37,69,1
12:fc:04:cb:3f:c8,ea:e9:4f:6b:a2:96,240.193.25.216,81.222.99.13,11681,42559,322,3721,4,6811,68,109,0
fd:33:4a:e2:69:93,fa:8c:5e:81:e7:74,216.48.97.192,119.138.183.228,61952,64161,514,632,0,53764,33,122,1
1a:28:7c:ee:40:f3,bb:38:83:6e:08:c3,94.56.189.125,233.165.151.142,39738,33316,979,1799,0,29794,114,81,1
